物品ID,物品名称,所属地,发往地,物品类型,客户等级,收获日期
1,z,E,G,3,9,2026-01-06
2,g,C,A,1,9,2025-12-31
3,a,E,G,2,8,2026-01-03
4,e,B,D,1,8,2026-01-03
5,t,F,C,4,3,2025-12-31
6,u,E,D,1,4,2026-01-06
7,p,G,B,4,2,2025-12-31
8,j,A,B,3,10,2026-01-01
9,p,E,G,2,7,2025-12-31
10,d,E,D,3,8,2026-01-02
11,a,F,C,2,6,2026-01-01
12,w,E,F,1,5,2026-01-01
13,f,E,A,3,6,2025-12-31
14,n,A,C,3,10,2026-01-02
15,q,D,E,1,7,2026-01-06
16,l,G,C,2,10,2025-12-31
17,i,H,D,2,1,2026-01-06
18,l,B,G,4,1,2026-01-01
19,a,E,A,2,3,2026-01-02
20,p,D,A,2,1,2026-01-03
21,r,B,F,3,5,2025-12-30
22,i,F,D,1,3,2026-01-04
23,x,C,D,3,9,2025-12-30
24,x,G,F,2,7,2025-12-31
25,x,B,H,2,9,2026-01-04
26,d,A,D,1,6,2026-01-02
27,c,E,C,1,10,2026-01-06
28,y,G,B,4,4,2026-01-03
29,e,B,G,1,6,2026-01-02
30,n,A,C,3,7,2026-01-04
31,s,A,G,1,2,2026-01-04
32,q,A,B,3,9,2025-12-31
33,i,H,D,3,7,2026-01-06
34,k,F,G,3,8,2026-01-03
35,u,B,E,1,8,2026-01-01
36,o,B,F,2,9,2026-01-06
37,t,B,D,3,7,2026-01-06
38,a,G,B,3,3,2026-01-01
39,q,E,A,2,10,2025-12-31
40,e,A,E,1,9,2026-01-02
41,t,G,B,4,2,2026-01-02
42,o,E,G,3,7,2026-01-02
43,w,B,F,1,1,2025-12-30
44,i,H,B,2,5,2026-01-02
45,p,H,A,2,7,2025-12-31
46,t,G,E,2,6,2025-12-31
47,g,G,B,2,7,2026-01-02
48,e,F,C,3,10,2026-01-01
49,n,F,C,4,9,2025-12-30
50,c,A,D,3,1,2026-01-04
51,t,C,E,1,6,2025-12-31
52,e,H,B,3,7,2026-01-03
53,v,D,E,1,10,2026-01-02
54,v,H,B,3,6,2026-01-05
55,n,E,F,2,10,2026-01-03
56,n,E,D,3,8,2026-01-05
57,q,E,C,3,1,2025-12-31
58,f,E,C,3,2,2025-12-30
59,l,F,C,4,5,2026-01-05
60,c,H,B,3,9,2026-01-03
61,a,A,G,1,3,2025-12-30
62,l,C,F,4,1,2026-01-01
63,n,G,C,2,4,2026-01-05
64,z,C,B,2,9,2026-01-02
65,g,C,E,1,5,2026-01-05
66,n,D,C,1,3,2026-01-02
67,p,A,B,2,1,2026-01-03
68,a,F,B,3,4,2026-01-05
69,i,B,G,4,5,2026-01-06
70,a,A,D,3,5,2025-12-31
71,f,A,G,2,4,2025-12-30
72,b,H,F,3,2,2025-12-31
73,a,A,C,1,4,2025-12-31
74,h,C,G,1,3,2025-12-31
75,n,G,B,4,2,2026-01-05
76,t,H,A,4,9,2026-01-01
77,y,F,H,3,1,2026-01-04
78,n,E,C,3,1,2026-01-06
79,k,C,E,2,4,2026-01-05
80,d,A,D,3,9,2026-01-01
81,m,H,E,1,4,2026-01-01
82,v,H,F,1,7,2026-01-04
83,f,G,A,2,2,2026-01-06
84,z,B,G,4,9,2025-12-31
85,f,A,H,4,2,2025-12-31
86,a,C,F,4,9,2026-01-06
87,r,C,F,4,9,2025-12-30
88,f,G,H,3,10,2026-01-04
89,y,H,A,3,4,2026-01-02
90,w,A,E,3,1,2026-01-06
91,o,H,A,4,10,2026-01-03
92,q,G,E,3,8,2026-01-03
93,o,D,G,1,3,2025-12-30
94,o,A,E,3,2,2026-01-04
95,z,H,A,1,5,2026-01-01
96,q,B,G,4,5,2025-12-31
97,a,A,H,4,2,2026-01-04
98,j,C,B,3,10,2026-01-06
99,z,F,C,4,10,2026-01-02
100,a,B,A,2,2,2026-01-06
101,z,F,D,2,8,2026-01-05
102,w,F,G,3,10,2025-12-31
103,i,G,B,4,6,2026-01-03
104,t,D,G,1,5,2026-01-03
105,r,B,F,2,2,2025-12-30
106,d,A,G,3,7,2026-01-03
107,j,D,C,1,9,2026-01-05
108,u,B,F,2,3,2026-01-06
109,x,G,B,4,7,2026-01-05
110,o,B,G,4,10,2026-01-03
111,g,B,G,3,2,2026-01-03
112,x,E,H,3,3,2025-12-30
113,d,H,A,3,3,2026-01-04
114,s,G,H,3,2,2026-01-03
115,r,B,G,2,1,2026-01-03
116,t,D,B,3,6,2026-01-06
117,m,B,H,1,1,2026-01-06
118,z,E,F,3,9,2026-01-01
119,a,F,C,4,2,2026-01-01
120,k,H,A,4,3,2026-01-04
121,v,A,H,3,9,2025-12-31
122,h,F,C,4,10,2026-01-06
123,f,B,D,3,3,2026-01-05
124,p,G,D,1,9,2026-01-02
125,o,H,A,4,8,2026-01-05
126,v,F,B,1,9,2026-01-01
127,f,E,A,1,2,2026-01-04
128,m,B,E,1,10,2025-12-30
129,q,C,D,2,1,2026-01-05
130,s,E,A,1,6,2026-01-02
131,k,F,H,1,8,2026-01-04
132,y,G,H,2,9,2026-01-06
133,z,C,F,4,6,2026-01-05
134,d,F,D,3,8,2026-01-01
135,t,F,A,2,7,2026-01-06
136,i,B,G,4,7,2026-01-01
137,f,C,F,1,1,2026-01-02
138,s,E,B,3,1,2025-12-31
139,s,C,G,1,7,2025-12-30
140,u,B,A,2,10,2026-01-02
141,i,C,A,1,6,2026-01-04
142,h,D,E,3,6,2026-01-05
143,l,B,G,1,6,2026-01-06
144,n,F,C,4,7,2026-01-06
145,m,H,F,1,4,2026-01-06
146,s,D,F,3,10,2026-01-03
147,b,D,B,3,3,2026-01-01
148,e,C,E,2,3,2025-12-31
149,e,B,G,4,3,2026-01-02
150,s,D,B,1,3,2026-01-05
151,c,E,A,1,4,2025-12-30
152,w,B,G,4,2,2025-12-30
153,c,A,H,4,5,2025-12-30
154,t,D,F,2,2,2026-01-04
155,z,F,C,1,9,2026-01-04
156,j,B,G,4,3,2026-01-04
157,q,H,F,1,7,2026-01-01
158,z,B,G,4,5,2026-01-06
159,j,A,F,1,9,2026-01-01
160,f,F,A,1,10,2026-01-02
161,m,H,B,1,5,2025-12-31
162,e,D,B,2,10,2026-01-01
163,x,H,A,2,6,2026-01-03
164,a,D,E,2,3,2026-01-02
165,u,B,D,1,5,2026-01-03
166,x,B,D,2,1,2025-12-31
167,r,H,C,1,8,2026-01-02
168,h,C,F,1,9,2026-01-06
169,p,E,C,1,7,2026-01-04
170,y,G,F,1,7,2026-01-05
171,x,C,F,4,8,2026-01-05
172,c,C,F,4,4,2026-01-06
173,n,A,F,2,9,2026-01-01
174,u,G,B,4,4,2026-01-02
175,k,B,E,2,8,2026-01-01
176,v,B,G,4,2,2026-01-02
177,v,H,A,4,2,2025-12-30
178,s,G,B,4,4,2026-01-02
179,i,A,G,1,5,2026-01-01
180,z,B,G,4,1,2026-01-06
181,j,A,C,1,8,2026-01-04
182,p,F,C,4,5,2026-01-03
183,h,G,B,2,9,2026-01-06
184,a,B,H,3,5,2026-01-06
185,r,G,B,4,3,2026-01-06
186,y,C,F,1,1,2025-12-30
187,p,C,B,1,8,2026-01-03
188,s,G,B,4,6,2026-01-04
189,p,F,B,2,6,2026-01-05
190,l,A,G,1,5,2025-12-30
191,v,C,F,4,9,2026-01-01
192,o,C,D,2,4,2026-01-06
193,n,D,B,2,3,2025-12-31
194,x,B,G,4,10,2026-01-05
195,m,A,C,1,4,2026-01-01
196,w,D,A,2,8,2026-01-01
197,e,E,G,3,6,2026-01-03
198,x,E,G,2,3,2026-01-04
199,h,F,H,2,1,2026-01-05
200,u,F,E,2,1,2025-12-30
201,l,E,H,2,3,2026-01-06
202,z,G,E,1,7,2026-01-01
203,p,F,G,1,6,2026-01-02
204,w,H,C,2,10,2026-01-02
205,g,C,H,1,3,2026-01-04
206,x,H,B,2,6,2026-01-01
207,l,H,A,3,2,2026-01-01
208,t,A,H,4,9,2025-12-30
209,e,A,H,4,2,2026-01-02
210,a,G,A,1,3,2026-01-01
211,n,C,H,3,8,2026-01-04
212,l,A,H,1,6,2026-01-06
213,v,H,A,3,9,2026-01-06
214,h,G,B,1,1,2026-01-06
215,v,C,B,1,3,2026-01-01
216,n,B,G,4,3,2026-01-04
217,z,F,C,4,8,2026-01-05
218,x,H,F,2,1,2026-01-06
219,e,E,H,2,5,2025-12-30
220,y,F,G,1,7,2025-12-30
221,t,B,C,2,6,2026-01-05
222,a,G,H,3,9,2026-01-01
223,d,F,B,2,10,2026-01-05
224,v,E,D,1,5,2025-12-31
225,x,G,B,4,2,2025-12-31
226,g,F,C,4,5,2025-12-31
227,i,D,F,3,9,2026-01-03
228,s,G,F,2,1,2025-12-30
229,m,F,A,3,10,2025-12-30
230,u,G,C,1,3,2026-01-05
231,l,H,A,4,5,2025-12-30
232,h,E,F,3,1,2026-01-04
233,p,B,E,1,2,2025-12-31
234,a,B,G,4,1,2026-01-02
235,j,D,A,3,10,2026-01-06
236,w,H,B,2,8,2026-01-04
237,z,D,E,1,2,2026-01-03
238,l,B,F,3,8,2026-01-04
239,q,B,C,2,9,2026-01-03
240,m,C,E,1,7,2026-01-06
241,r,E,C,3,2,2026-01-01
242,z,B,A,3,9,2025-12-31
243,t,F,A,3,10,2025-12-31
244,q,A,C,2,3,2026-01-05
245,s,D,H,3,8,2026-01-01
246,v,H,B,1,8,2026-01-01
247,d,C,G,1,1,2026-01-04
248,u,B,C,1,5,2026-01-03
249,f,A,H,4,6,2025-12-31
250,i,B,F,1,4,2026-01-06
251,d,A,H,4,10,2025-12-30
252,x,G,B,4,10,2025-12-30
253,x,E,G,1,7,2026-01-02
254,g,H,A,4,3,2026-01-02
255,o,B,D,2,9,2025-12-30
256,z,C,G,3,9,2026-01-02
257,l,A,H,4,3,2026-01-02
258,i,D,H,3,1,2026-01-06
259,u,E,C,1,3,2026-01-06
260,n,C,D,3,1,2026-01-05
261,r,F,C,4,9,2026-01-01
262,r,C,D,1,10,2026-01-06
263,r,E,A,2,2,2026-01-06
264,f,H,C,3,7,2026-01-05
265,g,A,H,4,2,2026-01-03
266,o,G,E,2,10,2026-01-04
267,z,D,B,2,10,2025-12-30
268,d,B,E,3,9,2026-01-06
269,f,F,C,4,5,2026-01-01
270,a,D,F,1,6,2025-12-30
271,o,B,H,2,3,2025-12-31
272,t,G,E,2,6,2026-01-01
273,s,B,G,4,2,2026-01-02
274,r,C,E,3,2,2025-12-31
275,r,D,F,1,4,2026-01-02
276,p,F,C,4,8,2026-01-04
277,t,G,C,2,8,2026-01-06
278,h,H,B,1,4,2026-01-04
279,p,H,A,4,4,2026-01-03
280,x,D,C,2,8,2026-01-02
281,n,B,C,1,9,2026-01-05
282,g,F,H,1,5,2025-12-30
283,r,A,B,3,10,2026-01-02
284,u,C,E,1,1,2026-01-04
285,y,F,A,1,6,2025-12-30
286,c,D,H,1,5,2025-12-31
287,u,E,F,1,10,2025-12-31
288,g,B,A,1,4,2025-12-30
289,g,B,G,4,10,2025-12-31
290,l,C,F,4,7,2025-12-30
291,e,H,A,3,7,2026-01-05
292,e,D,E,2,3,2026-01-06
293,e,A,B,1,5,2026-01-01
294,a,G,F,3,10,2026-01-06
295,i,G,A,3,9,2026-01-05
296,t,B,C,3,1,2026-01-03
297,m,C,E,3,7,2026-01-06
298,s,G,B,4,7,2025-12-31
299,m,E,D,1,1,2026-01-02
300,f,H,A,4,2,2025-12-30
301,p,C,F,2,4,2026-01-01
302,g,G,B,3,9,2026-01-04
303,z,H,C,2,8,2025-12-30
304,z,E,H,3,8,2026-01-03
305,y,F,H,1,9,2026-01-01
306,n,C,F,4,7,2025-12-31
307,f,H,A,3,1,2025-12-30
308,m,G,F,1,2,2026-01-05
309,e,H,B,2,3,2025-12-31
310,m,H,B,1,4,2025-12-31
311,b,D,C,3,2,2026-01-04
312,q,G,E,3,2,2026-01-04
313,q,E,H,1,1,2026-01-03
314,g,E,B,1,8,2025-12-31
315,y,A,H,4,2,2026-01-05
316,l,B,G,3,9,2026-01-01
317,a,B,F,3,10,2026-01-06
318,z,G,B,4,9,2026-01-06
319,v,C,F,4,3,2026-01-05
320,m,A,H,4,9,2026-01-04
321,z,E,A,2,1,2025-12-30
322,d,G,B,4,6,2026-01-04
323,r,B,A,3,2,2026-01-06
324,f,G,C,3,1,2026-01-05
325,j,B,G,4,8,2026-01-02
326,v,F,C,4,7,2026-01-03
327,r,F,D,2,9,2025-12-31
328,d,B,G,1,2,2025-12-30
329,m,G,D,3,2,2026-01-05
330,q,H,G,1,5,2026-01-04
331,o,F,B,1,9,2026-01-02
332,m,C,F,4,4,2026-01-02
333,n,H,E,1,8,2026-01-02
334,i,H,A,4,7,2025-12-30
335,p,G,F,3,6,2026-01-05
336,m,A,H,2,6,2025-12-31
337,w,F,G,3,9,2026-01-03
338,a,A,G,2,3,2025-12-30
339,q,C,D,2,7,2026-01-02
340,u,C,F,4,6,2026-01-06
341,x,B,H,3,5,2025-12-30
342,c,B,G,4,9,2026-01-04
343,h,A,H,4,9,2026-01-06
344,g,G,B,4,2,2025-12-30
345,v,A,H,4,10,2025-12-31
346,k,F,C,4,10,2025-12-31
347,m,A,H,3,6,2025-12-31
348,b,C,F,3,1,2026-01-05
349,w,D,B,3,8,2026-01-01
350,x,H,F,1,2,2026-01-02
351,j,C,B,3,5,2026-01-01
352,a,G,D,3,8,2026-01-03
353,o,H,G,3,8,2026-01-05
354,r,H,D,3,1,2026-01-02
355,n,H,D,3,10,2026-01-05
356,b,E,C,1,2,2025-12-30
357,n,H,A,4,6,2026-01-01
358,d,C,B,3,4,2026-01-02
359,y,A,C,1,9,2026-01-03
360,e,F,B,1,4,2026-01-06
361,r,B,D,3,2,2026-01-06
362,q,C,F,4,3,2026-01-05
363,t,H,A,4,4,2026-01-04
364,v,F,C,4,6,2025-12-30
365,m,B,G,4,9,2025-12-30
366,j,B,G,4,6,2026-01-01
367,s,B,G,4,9,2026-01-01
368,l,B,G,4,2,2026-01-05
369,j,C,A,3,5,2026-01-03
370,u,B,A,3,8,2025-12-31
371,p,C,A,2,6,2026-01-03
