物品ID,物品名称,所属地,发往地,物品类型,客户等级,收获日期
1,y,A,G,1,3,2025-12-30
2,y,A,D,3,5,2025-12-30
3,v,H,G,2,4,2026-01-03
4,y,G,F,2,6,2026-01-03
5,v,A,D,1,1,2026-01-05
6,s,F,G,2,6,2026-01-03
7,t,D,H,1,7,2025-12-31
8,c,H,A,2,3,2026-01-03
9,z,G,E,1,7,2025-12-31
10,k,H,D,2,5,2026-01-06
11,k,H,B,3,7,2026-01-06
12,l,D,B,3,7,2026-01-02
13,l,A,D,3,7,2026-01-05
14,b,C,H,3,2,2026-01-03
15,i,D,H,4,6,2026-01-05
16,c,E,F,4,2,2026-01-05
17,z,F,D,1,3,2026-01-06
18,n,C,A,2,6,2026-01-01
19,u,B,A,3,5,2025-12-31
20,f,H,E,2,7,2025-12-30
21,h,F,B,4,1,2025-12-30
22,l,D,F,2,1,2025-12-31
23,f,D,F,1,4,2026-01-05
24,w,H,D,1,3,2026-01-06
25,e,H,C,3,1,2026-01-03
26,g,D,H,3,7,2025-12-31
27,a,G,F,1,7,2026-01-06
28,j,H,G,4,3,2026-01-05
29,n,A,D,1,5,2025-12-31
30,i,H,A,1,6,2026-01-02
31,e,A,G,3,2,2026-01-03
32,y,F,C,1,1,2025-12-30
33,m,D,G,2,5,2026-01-01
34,p,C,B,3,2,2025-12-31
35,n,G,F,4,6,2026-01-06
36,w,E,B,4,3,2026-01-06
37,y,A,F,1,3,2026-01-06
38,s,C,B,3,4,2026-01-03
39,x,A,E,3,1,2025-12-30
40,e,C,B,2,3,2026-01-03
41,w,G,H,2,5,2026-01-04
42,t,C,B,3,1,2025-12-31
43,o,F,E,1,7,2025-12-30
44,n,H,A,2,5,2025-12-30
45,w,D,A,3,6,2025-12-31
46,o,E,H,3,2,2026-01-04
47,r,D,E,3,2,2025-12-31
48,g,G,B,3,2,2026-01-02
49,p,E,A,2,3,2026-01-03
50,x,G,F,3,7,2025-12-30
51,e,E,B,3,2,2026-01-06
52,v,D,G,1,2,2026-01-04
53,a,H,D,4,1,2026-01-06
54,y,H,C,2,1,2025-12-31
55,u,E,H,1,4,2026-01-04
56,j,A,B,3,5,2026-01-03
57,x,G,D,4,2,2026-01-05
58,m,F,G,4,6,2026-01-06
59,u,H,F,3,5,2025-12-30
60,t,G,D,1,4,2026-01-01
61,d,E,A,4,1,2026-01-03
62,i,C,E,4,7,2026-01-04
63,g,D,C,2,1,2026-01-06
64,z,G,F,1,7,2025-12-30
65,p,E,G,3,4,2026-01-01
66,r,D,A,4,3,2025-12-30
67,x,B,G,3,1,2026-01-01
68,h,H,C,4,4,2026-01-02
69,i,F,H,3,6,2026-01-03
70,i,F,B,4,6,2026-01-01
71,a,C,H,3,1,2025-12-31
72,n,E,D,3,2,2025-12-30
73,u,B,F,3,6,2026-01-02
74,m,E,D,2,5,2025-12-30
75,u,F,C,2,5,2026-01-02
76,n,A,H,4,2,2026-01-01
77,q,A,H,2,7,2026-01-04
78,q,B,H,3,6,2026-01-05
79,q,F,G,4,3,2026-01-06
80,e,A,G,4,3,2026-01-06
81,w,B,D,1,2,2026-01-06
82,w,G,H,4,2,2026-01-03
83,u,A,H,1,7,2026-01-04
84,m,B,G,1,5,2025-12-30
85,m,H,G,3,5,2025-12-31
86,r,B,F,1,1,2026-01-02
87,b,D,G,3,2,2026-01-06
88,p,G,E,4,6,2026-01-06
89,i,D,A,4,7,2026-01-03
90,z,B,C,3,7,2025-12-30
91,g,C,G,2,5,2026-01-05
92,k,B,C,2,2,2026-01-04
93,r,F,B,4,1,2026-01-01
94,x,E,A,3,2,2026-01-04
95,k,A,E,4,1,2026-01-04
96,k,G,E,2,3,2026-01-05
97,u,E,C,3,5,2026-01-05
98,s,A,B,2,2,2026-01-01
99,s,B,A,2,3,2026-01-05
100,z,E,F,4,2,2026-01-06
101,i,E,D,2,7,2026-01-06
102,o,D,B,3,1,2026-01-06
103,a,F,B,2,6,2025-12-31
104,a,B,F,4,3,2025-12-30
105,j,C,F,4,1,2026-01-05
106,i,B,G,4,4,2026-01-02
107,b,G,A,3,1,2026-01-03
